# Per-file coverage baseline — files below the floor when the gate landed.
#
# The gate (scripts/check_per_file_coverage.py) requires every measured file to
# meet the per-file floor EXCEPT the ones listed here. This list may only
# shrink. A refresh DELETES graduated and vanished entries and copies every
# surviving line through verbatim, so a recorded rate is never rewritten and no
# path can be added -- neither a new offender nor a regression can be cleared by
# refreshing instead of by adding tests. Each line therefore stays an accurate
# record of the moment it was taken.
#
# Refresh after a file graduates, is deleted, or is renamed:
#   python3 scripts/check_per_file_coverage.py <report> --label <lane> \
#       --floor <n> --baseline <this file> --update-baseline
#
# Format: <path> <rate-when-recorded>   # <covered>/<statements>
src/kiro_crew/_process_group_supervisor.py 32.0   # 41/128
src/kiro_crew/apple_speech/__init__.py 53.4   # 196/367
src/kiro_crew/apps/builtins/auto_improvement/backend/clone_setup.py 49.3   # 112/227
src/kiro_crew/apps/builtins/auto_improvement/backend/commit.py 33.9   # 40/118
src/kiro_crew/apps/builtins/auto_improvement/backend/sse.py 26.1   # 12/46
src/kiro_crew/apps/builtins/auto_improvement/spine/agent_discovery.py 56.8   # 166/292
src/kiro_crew/apps/builtins/auto_improvement/spine/bug_gate.py 20.7   # 12/58
src/kiro_crew/apps/builtins/auto_improvement/spine/gate.py 19.1   # 22/115
src/kiro_crew/apps/builtins/auto_improvement/spine/git_safety.py 46.4   # 45/97
src/kiro_crew/apps/builtins/auto_improvement/spine/pr_pipeline.py 28.7   # 35/122
src/kiro_crew/apps/builtins/code_review_sage/sage_lib/review_driver.py 77.1   # 330/428
src/kiro_crew/apps/builtins/code_review_sage/tests/fixtures.py 0.0   # 0/6
src/kiro_crew/apps/builtins/crew_companion/backend/routes.py 62.9   # 112/178
src/kiro_crew/apps/builtins/file_explorer/server.py 71.9   # 396/551
src/kiro_crew/apps/builtins/mochi/backend/routes.py 71.5   # 391/547
src/kiro_crew/apps/builtins/mochi/hooks.py 76.6   # 357/466
src/kiro_crew/apps/builtins/mochi/queue_file.py 72.8   # 134/184
src/kiro_crew/apps/builtins/mochi/queue_poller.py 49.7   # 178/358
src/kiro_crew/apps/builtins/mochi/stats_service.py 66.9   # 212/317
src/kiro_crew/apps/builtins/mochi/watchlist_file.py 59.3   # 207/349
src/kiro_crew/apps/builtins/mochi/watchlist_service.py 65.3   # 109/167
